,gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,met_o,age,field,race,imprace,imprelig,from,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr3_1,sinc3_1,fun3_1,intel3_1,attr,sinc,intel,fun,met,iid,pid,match
0,0,0,27.0,2,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,6.0,9.0,7.0,7.0,2.0,246,449,0.0
1,0,0,22.0,2,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,1.0,246,19,1.0
2,0,1,22.0,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,1.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,5.0,8.0,9.0,8.0,1.0,246,68,0.0
3,0,0,23.0,2,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,9.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,2.0,246,45,0.0
4,0,0,24.0,3,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,5.0,6.0,7.0,7.0,2.0,246,221,0.0
5,0,0,25.0,2,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7.0,8.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,4.0,9.0,7.0,4.0,2.0,246,152,0.0
6,0,0,30.0,2,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6.0,7.0,5.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,7.0,4.0,2.0,246,308,0.0
7,0,0,27.0,2,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,5.0,6.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,4.0,9.0,7.0,6.0,,246,499,1.0
8,0,0,28.0,2,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,8.0,8.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,2.0,246,378,1.0
9,0,0,24.0,2,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,21.0,Law,4,2.0,4.0,Chicago,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,6.0,8.0,8.0,8.0,5.0,6.0,6.0,8.0,2.0,246,552,1.0
10,0,1,27.0,2,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,5.0,7.0,8.0,4.0,2.0,176,449,1.0
11,0,1,22.0,2,60.0,0.0,0.0,40.0,0.0,0.0,7.0,6.0,10.0,6.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,8.0,5.0,6.0,6.0,2.0,176,19,0.0
12,0,0,22.0,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,5.0,8.0,9.0,6.0,2.0,176,68,0.0
13,0,1,23.0,2,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,7.0,9.0,7.0,6.0,2.0,176,45,0.0
14,0,0,24.0,3,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,1.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,6.0,8.0,7.0,9.0,1.0,176,221,0.0
15,0,1,25.0,2,50.0,0.0,30.0,10.0,0.0,10.0,7.0,8.0,7.0,5.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,8.0,7.0,8.0,3.0,2.0,176,152,0.0
16,0,1,30.0,2,35.0,15.0,25.0,10.0,5.0,10.0,5.0,3.0,4.0,3.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,7.0,5.0,9.0,6.0,2.0,176,308,0.0
17,0,1,27.0,2,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7.0,7.0,7.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,5.0,8.0,7.0,5.0,2.0,176,499,0.0
18,0,1,28.0,2,50.0,0.0,25.0,10.0,0.0,15.0,8.0,6.0,9.0,9.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,7.0,6.0,8.0,9.0,2.0,176,378,0.0
19,0,1,24.0,2,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,2.0,24.0,law,2,2.0,5.0,Alabama,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,7.0,5.0,10.0,8.0,6.0,7.0,8.0,7.0,2.0,176,552,0.0
20,0,1,27.0,2,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,6.0,5.0,1.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,7.0,9.0,10.0,7.0,1.0,279,449,0.0
21,0,1,22.0,2,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,6.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,2.0,279,19,0.0
22,0,0,22.0,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,2.0,279,68,0.0
23,0,1,23.0,2,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,8.0,8.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,7.0,2.0,279,45,0.0
24,0,0,24.0,3,30.0,10.0,20.0,10.0,10.0,20.0,6.0,10.0,8.0,6.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,2.0,279,221,0.0
25,0,1,25.0,2,50.0,0.0,30.0,10.0,0.0,10.0,7.0,6.0,6.0,6.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,7.0,2.0,279,152,0.0
26,0,1,30.0,2,35.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,4.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,2.0,279,308,0.0
27,0,1,27.0,2,33.33,11.11,11.11,11.11,11.11,22.22,4.0,5.0,6.0,4.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,2.0,279,499,0.0
28,0,1,28.0,2,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,6.0,8.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,2.0,279,378,0.0
29,0,1,24.0,2,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,5.0,2.0,25.0,Economics,2,8.0,4.0,Connecticut,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,2.0,279,552,0.0
30,0,1,27.0,2,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,4.0,10.0,8.0,5.0,2.0,448,449,0.0
31,0,1,22.0,2,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,1.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,8.0,7.0,8.0,10.0,1.0,448,19,0.0
32,0,0,22.0,4,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,4.0,7.0,8.0,8.0,2.0,448,68,1.0
33,0,1,23.0,2,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,1.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,8.0,10.0,7.0,10.0,1.0,448,45,0.0
34,0,0,24.0,3,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,6.0,9.0,8.0,9.0,2.0,448,221,0.0
35,0,1,25.0,2,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,5.0,10.0,8.0,4.0,2.0,448,152,0.0
36,0,1,30.0,2,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,7.0,10.0,10.0,7.0,2.0,448,308,0.0
37,0,1,27.0,2,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,5.0,9.0,9.0,5.0,2.0,448,499,0.0
38,0,1,28.0,2,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,9.0,8.0,10.0,10.0,2.0,448,378,0.0
39,0,1,24.0,2,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,2.0,23.0,Law,2,1.0,1.0,Texas,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,10.0,10.0,2.0,448,552,0.0
40,0,1,27.0,2,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,2.0,21.0,Law,2,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,5.0,8.0,8.0,2.0,2.0,117,449,0.0
