,pid,iid,rate
0,234,234,7
1,234,236,7
2,234,239,6
3,234,243,7
4,234,244,6
5,234,246,6
6,234,249,6
7,234,253,6
8,234,260,6
9,234,262,5
10,234,263,7
11,234,264,7
12,234,267,7
13,234,269,7
14,234,270,6
15,234,271,7
16,234,274,7
17,234,275,6
18,234,277,7
19,234,278,7
20,234,279,7
21,234,281,6
22,234,282,7
23,234,283,7
24,234,285,7
25,234,286,6
26,234,289,7
27,234,290,7
28,234,292,7
29,234,293,6
30,234,294,7
31,234,296,7
32,234,297,8
33,234,298,6
34,234,299,6
35,234,300,6
36,234,304,6
37,234,305,6
38,234,307,6
39,234,308,6
40,234,309,7
41,234,313,7
42,234,314,7
43,234,316,7
44,234,320,6
45,234,325,5
46,234,326,7
47,234,327,6
48,234,328,7
49,234,330,6
50,234,333,7
51,234,339,6
52,234,340,8
53,234,344,7
54,234,345,7
55,234,346,7
56,234,348,6
57,234,352,6
58,234,354,6
59,234,356,6
60,234,362,7
61,234,364,7
62,234,365,6
63,234,366,6
64,234,367,6
65,234,368,6
66,234,374,7
67,234,375,6
68,234,378,7
69,234,381,7
70,234,382,7
71,234,386,6
72,234,387,6
73,234,388,6
74,234,389,6
75,234,392,6
76,234,393,6
77,234,394,6
78,234,395,7
79,234,396,6
80,234,397,7
81,234,401,8
82,234,405,7
83,234,407,7
84,234,409,6
85,234,411,8
86,234,417,5
87,234,418,6
88,234,422,7
89,234,428,7
90,234,429,7
91,234,430,6
92,234,431,6
93,234,432,7
94,234,433,7
95,234,434,7
96,234,436,7
97,234,437,6
98,234,441,7
99,234,442,8
100,234,443,7
101,234,444,7
102,234,445,7
103,234,447,7
104,234,450,7
105,234,451,7
106,234,455,6
107,234,456,7
108,234,457,6
109,234,458,8
110,234,461,7
111,234,462,6
112,234,464,7
113,234,466,6
114,234,468,7
115,234,471,6
116,234,473,6
117,234,474,6
118,234,480,6
119,234,481,6
120,234,482,6
121,234,483,8
122,234,484,7
123,234,485,6
124,234,486,7
125,234,487,6
126,234,489,7
127,234,491,7
128,234,495,6
129,234,501,6
130,234,503,7
131,234,506,6
132,234,507,7
133,234,508,6
134,234,509,5
135,234,510,7
136,234,511,6
137,234,512,6
138,234,514,6
139,234,517,6
140,234,521,6
141,234,522,6
142,234,524,7
143,234,526,7
144,234,528,8
145,234,530,5
146,234,533,7
147,234,534,7
148,234,535,6
149,234,536,8
150,234,537,5
151,234,539,6
152,234,540,7
153,234,541,7
154,234,545,6
155,234,546,7
156,234,548,6
157,234,549,6
158,234,550,8
159,235,234,6
160,235,235,7
161,235,236,6
162,235,237,7
163,235,240,7
164,235,241,6
165,235,242,6
166,235,243,6
167,235,244,6
168,235,245,6
169,235,248,5
170,235,249,6
171,235,250,6
172,235,252,7
173,235,255,7
174,235,256,6
175,235,258,6
176,235,263,6
177,235,264,6
178,235,267,6
179,235,268,6
180,235,271,7
181,235,274,6
182,235,275,6
183,235,276,6
184,235,277,6
185,235,278,7
186,235,281,6
187,235,283,6
188,235,285,6
189,235,288,7
190,235,289,6
191,235,290,6
192,235,291,6
193,235,295,6
194,235,297,7
195,235,298,5
196,235,300,6
197,235,301,6
198,235,304,6
199,235,306,6
200,235,308,6
201,235,312,6
202,235,313,6
203,235,316,7
204,235,319,6
205,235,323,6
206,235,325,5
207,235,330,6
208,235,333,6
209,235,335,6
210,235,336,6
211,235,337,6
212,235,338,6
213,235,340,7
214,235,341,6
215,235,343,6
216,235,356,6
217,235,359,5
218,235,360,6
219,235,363,7
220,235,364,7
221,235,366,6
222,235,367,6
223,235,371,6
224,235,372,6
225,235,373,6
226,235,377,8
227,235,378,6
228,235,381,7
229,235,382,6
230,235,383,6
231,235,386,6
232,235,388,6
233,235,389,7
234,235,391,6
235,235,394,6
236,235,395,6
237,235,396,6
238,235,401,6
239,235,402,7
240,235,405,6
241,235,408,6
242,235,409,6
243,235,411,7
244,235,413,6
245,235,416,5
246,235,418,6
247,235,421,7
248,235,422,7
249,235,429,6
250,235,430,6
251,235,432,7
252,235,434,6
253,235,436,6
254,235,437,5
255,235,438,6
256,235,440,6
257,235,443,6
258,235,444,7
259,235,447,6
260,235,449,6
261,235,450,5
262,235,452,7
263,235,454,6
264,235,455,6
265,235,457,6
266,235,461,6
267,235,463,5
268,235,466,5
269,235,467,7
270,235,468,6
271,235,469,6
272,235,470,7
273,235,475,6
274,235,484,7
275,235,485,6
276,235,486,7
277,235,490,6
278,235,491,7
279,235,493,7
280,235,495,6
281,235,500,6
282,235,502,6
283,235,504,6
284,235,506,6
285,235,510,6
286,235,512,5
287,235,514,6
288,235,515,6
289,235,516,6
290,235,517,6
291,235,520,6
292,235,521,6
293,235,525,7
294,235,526,6
295,235,528,7
296,235,529,7
297,235,530,5
298,235,536,6
299,235,537,5
300,235,538,6
301,235,540,6
302,235,543,6
303,235,544,6
304,235,545,6
305,235,546,6
306,235,548,5
307,235,549,6
308,235,550,6
309,235,551,6
310,236,235,7
311,236,236,7
312,236,238,6
313,236,240,7
314,236,241,7
315,236,242,7
316,236,243,7
317,236,245,6
318,236,246,6
319,236,247,6
320,236,251,7
321,236,252,7
322,236,253,6
323,236,256,7
324,236,257,7
325,236,258,6
326,236,261,7
327,236,263,7
328,236,264,7
329,236,266,6
330,236,267,7
331,236,269,7
332,236,270,6
333,236,273,7
334,236,276,6
335,236,277,6
336,236,278,7
337,236,279,7
338,236,281,6
339,236,282,7
340,236,286,6
341,236,287,6
342,236,288,8
343,236,295,6
344,236,296,7
345,236,297,8
346,236,298,6
347,236,301,6
348,236,305,6
349,236,307,6
350,236,311,6
351,236,312,6
352,236,313,6
353,236,317,6
354,236,319,7
355,236,320,6
356,236,326,7
357,236,328,7
358,236,332,7
359,236,333,7
360,236,334,6
361,236,335,6
362,236,336,7
363,236,338,7
364,236,343,6
365,236,345,7
366,236,346,6
367,236,349,7
368,236,354,6
369,236,357,7
370,236,360,6
371,236,362,7
372,236,367,6
373,236,368,6
374,236,369,7
375,236,375,6
376,236,377,8
377,236,383,7
378,236,387,6
379,236,388,6
380,236,389,7
381,236,391,7
382,236,393,6
383,236,394,6
384,236,398,7
385,236,403,7
386,236,404,7
387,236,406,7
388,236,407,7
389,236,408,7
390,236,409,6
391,236,411,7
392,236,412,7
393,236,413,7
394,236,415,6
395,236,420,6
396,236,421,7
397,236,422,7
398,236,432,8
399,236,433,7
400,236,435,7
401,236,437,6
402,236,438,6
403,236,441,7
404,236,444,7
405,236,445,7
406,236,450,6
407,236,456,7
408,236,457,6
409,236,461,7
410,236,462,6
411,236,466,6
412,236,467,8
413,236,468,7
414,236,469,7
415,236,471,6
416,236,472,7
417,236,473,6
418,236,480,6
419,236,481,6
420,236,482,6
421,236,485,6
422,236,488,7
423,236,489,7
424,236,491,7
425,236,492,7
426,236,508,6
427,236,511,6
428,236,512,5
429,236,518,8
430,236,524,7
