gender,match,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,met_o,age,field,race,imprace,imprelig,from,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr3_1,sinc3_1,fun3_1,intel3_1,attr,sinc,intel,fun,met,iid,pid,shar1_1
0,0,0,29.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,7.0,6.0,6.0,7.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,2.0,6.0,2.0,3.0,2.0,355,150,15.0
0,0,0,22.0,6.0,20.0,15.0,20.0,20.0,5.0,10.0,8.0,8.0,7.0,7.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,3.0,9.0,9.0,7.0,2.0,355,214,15.0
0,0,0,27.0,1.0,21.0,17.0,22.0,20.0,8.0,13.0,6.0,4.0,5.0,6.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,3.0,7.0,5.0,3.0,,355,515,15.0
0,1,1,28.0,2.0,50.0,10.0,30.0,10.0,0.0,0.0,7.0,5.0,5.0,7.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,5.0,10.0,8.0,5.0,2.0,355,528,15.0
0,1,1,26.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,8.0,6.0,7.0,7.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,4.0,7.0,9.0,9.0,2.0,355,291,15.0
0,0,1,21.0,2.0,60.0,15.0,0.0,15.0,0.0,10.0,9.0,8.0,8.0,10.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,3.0,10.0,8.0,6.0,2.0,355,522,15.0
0,0,1,22.0,2.0,21.0,20.0,19.0,20.0,10.0,10.0,7.0,8.0,7.0,5.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,3.0,10.0,5.0,3.0,2.0,355,271,15.0
0,0,1,22.0,2.0,30.0,10.0,20.0,30.0,0.0,10.0,7.0,7.0,6.0,5.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,4.0,10.0,9.0,8.0,2.0,355,359,15.0
0,0,1,25.0,2.0,30.0,0.0,30.0,30.0,10.0,0.0,8.0,10.0,8.0,8.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,3.0,10.0,7.0,3.0,2.0,355,75,15.0
0,0,0,24.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,8.0,6.0,6.0,7.0,2.0,23.0,social work,2.0,10.0,9.0,Florida,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,10.0,10.0,9.0,8.0,3.0,10.0,9.0,2.0,2.0,355,175,15.0
0,0,0,29.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,4.0,7.0,7.0,6.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,8.0,7.0,7.0,7.0,2.0,538,150,15.0
0,0,0,22.0,6.0,20.0,15.0,20.0,20.0,5.0,10.0,5.0,10.0,7.0,5.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,2.0,538,214,15.0
0,0,0,27.0,1.0,21.0,17.0,22.0,20.0,8.0,13.0,5.0,6.0,6.0,5.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,7.0,6.0,9.0,7.0,2.0,538,515,15.0
0,0,1,28.0,2.0,50.0,10.0,30.0,10.0,0.0,0.0,4.0,7.0,7.0,5.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,9.0,8.0,7.0,8.0,2.0,538,528,15.0
0,0,1,26.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,5.0,8.0,7.0,5.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,2.0,538,291,15.0
0,1,1,21.0,2.0,60.0,15.0,0.0,15.0,0.0,10.0,6.0,9.0,8.0,6.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,2.0,538,522,15.0
0,0,1,22.0,2.0,21.0,20.0,19.0,20.0,10.0,10.0,5.0,8.0,8.0,7.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,2.0,538,271,15.0
0,0,1,22.0,2.0,30.0,10.0,20.0,30.0,0.0,10.0,6.0,8.0,6.0,6.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,2.0,538,359,15.0
0,0,1,25.0,2.0,30.0,0.0,30.0,30.0,10.0,0.0,7.0,6.0,6.0,8.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,3.0,538,75,15.0
0,0,0,24.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,8.0,7.0,6.0,2.0,22.0,Social Work,2.0,10.0,10.0,New Jersey,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,6.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,2.0,538,175,15.0
0,0,0,29.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,9.0,8.0,2.0,489,150,
0,0,0,22.0,6.0,20.0,15.0,20.0,20.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,8.0,5.0,2.0,489,214,
0,0,0,27.0,1.0,21.0,17.0,22.0,20.0,8.0,13.0,6.0,7.0,5.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,9.0,8.0,2.0,489,515,
0,0,0,28.0,2.0,50.0,10.0,30.0,10.0,0.0,0.0,4.0,7.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,9.0,9.0,2.0,489,528,
0,0,0,26.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,6.0,6.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,9.0,9.0,2.0,489,291,
0,1,0,21.0,2.0,60.0,15.0,0.0,15.0,0.0,10.0,6.0,7.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,9.0,5.0,2.0,489,522,
0,0,0,22.0,2.0,21.0,20.0,19.0,20.0,10.0,10.0,6.0,7.0,7.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,9.0,6.0,2.0,489,271,
0,0,0,22.0,2.0,30.0,10.0,20.0,30.0,0.0,10.0,5.0,7.0,7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,8.0,7.0,2.0,489,359,
0,1,0,25.0,2.0,30.0,0.0,30.0,30.0,10.0,0.0,8.0,8.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,9.0,4.0,2.0,489,75,
0,0,0,24.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,6.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,9.0,5.0,2.0,489,175,
0,0,0,29.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,150,
0,0,0,22.0,6.0,20.0,15.0,20.0,20.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,214,
0,0,0,27.0,1.0,21.0,17.0,22.0,20.0,8.0,13.0,5.0,7.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,9.0,2.0,2.0,386,515,
